Time,CH 1 °C,Alm 1,Alm 2,Alm 3,Alm 4, ./R2L1.csv
09/23/2016 16:15:10,12.0,,,,, ./R2L1.csv
09/23/2016 16:25:10,12.0,,,,, ./R2L1.csv
09/23/2016 16:35:10,12.0,,,,, ./R2L1.csv
09/23/2016 16:45:10,12.0,,,,, ./R2L1.csv
09/23/2016 16:55:10,12.0,,,,, ./R2L1.csv
09/23/2016 17:05:10,12.0,,,,, ./R2L1.csv
09/23/2016 17:15:10,12.0,,,,, ./R2L1.csv
09/23/2016 17:25:10,12.5,,,,, ./R2L1.csv
09/23/2016 17:35:10,12.5,,,,, ./R2L1.csv
09/23/2016 17:45:10,12.5,,,,, ./R2L1.csv
09/23/2016 17:55:10,12.5,,,,, ./R2L1.csv
09/23/2016 18:05:10,15.0,,,,, ./R2L1.csv
09/23/2016 18:15:10,15.0,,,,, ./R2L1.csv
09/23/2016 18:25:10,14.5,,,,, ./R2L1.csv
09/23/2016 18:35:10,14.5,,,,, ./R2L1.csv
09/23/2016 18:45:10,14.5,,,,, ./R2L1.csv
09/23/2016 18:55:10,14.0,,,,, ./R2L1.csv
09/23/2016 19:05:10,14.0,,,,, ./R2L1.csv
09/23/2016 19:15:10,14.0,,,,, ./R2L1.csv
09/23/2016 19:25:10,13.5,,,,, ./R2L1.csv
09/23/2016 19:35:10,13.5,,,,, ./R2L1.csv
09/23/2016 19:45:10,13.5,,,,, ./R2L1.csv
09/23/2016 19:55:10,13.5,,,,, ./R2L1.csv
09/23/2016 20:05:10,13.0,,,,, ./R2L1.csv
09/23/2016 20:15:10,13.0,,,,, ./R2L1.csv
09/23/2016 20:25:10,13.0,,,,, ./R2L1.csv
09/23/2016 20:35:10,13.0,,,,, ./R2L1.csv
09/23/2016 20:45:10,13.0,,,,, ./R2L1.csv
09/23/2016 20:55:10,12.5,,,,, ./R2L1.csv
09/23/2016 21:05:10,12.5,,,,, ./R2L1.csv
09/23/2016 21:15:10,12.5,,,,, ./R2L1.csv
09/23/2016 21:25:10,12.5,,,,, ./R2L1.csv
09/23/2016 21:35:10,12.5,,,,, ./R2L1.csv
09/23/2016 21:45:10,12.0,,,,, ./R2L1.csv
09/23/2016 21:55:10,12.0,,,,, ./R2L1.csv
09/23/2016 22:05:10,12.0,,,,, ./R2L1.csv
09/23/2016 22:15:10,12.0,,,,, ./R2L1.csv
09/23/2016 22:25:10,12.0,,,,, ./R2L1.csv
09/23/2016 22:35:10,11.5,,,,, ./R2L1.csv
09/23/2016 22:45:10,11.5,,,,, ./R2L1.csv
09/23/2016 22:55:10,11.5,,,,, ./R2L1.csv
09/23/2016 23:05:10,11.5,,,,, ./R2L1.csv
09/23/2016 23:15:10,11.5,,,,, ./R2L1.csv
09/23/2016 23:25:10,11.5,,,,, ./R2L1.csv
09/23/2016 23:35:10,11.5,,,,, ./R2L1.csv
09/23/2016 23:45:10,11.0,,,,, ./R2L1.csv
09/23/2016 23:55:10,11.5,,,,, ./R2L1.csv
09/24/2016 00:05:10,11.0,,,,, ./R2L1.csv
09/24/2016 00:15:10,11.0,,,,, ./R2L1.csv
09/24/2016 00:25:10,11.0,,,,, ./R2L1.csv
09/24/2016 00:35:10,11.0,,,,, ./R2L1.csv
09/24/2016 00:45:10,11.0,,,,, ./R2L1.csv
09/24/2016 00:55:10,11.5,,,,, ./R2L1.csv
09/24/2016 01:05:10,11.0,,,,, ./R2L1.csv
09/24/2016 01:15:10,11.0,,,,, ./R2L1.csv
09/24/2016 01:25:10,11.0,,,,, ./R2L1.csv
09/24/2016 01:35:10,11.0,,,,, ./R2L1.csv
09/24/2016 01:45:10,11.0,,,,, ./R2L1.csv
09/24/2016 01:55:10,11.0,,,,, ./R2L1.csv
09/24/2016 02:05:10,11.0,,,,, ./R2L1.csv
09/24/2016 02:15:10,11.0,,,,, ./R2L1.csv
09/24/2016 02:25:10,11.0,,,,, ./R2L1.csv
09/24/2016 02:35:10,11.0,,,,, ./R2L1.csv
09/24/2016 02:45:10,11.0,,,,, ./R2L1.csv
09/24/2016 02:55:10,11.0,,,,, ./R2L1.csv
09/24/2016 03:05:10,11.0,,,,, ./R2L1.csv
09/24/2016 03:15:10,11.0,,,,, ./R2L1.csv
09/24/2016 03:25:10,11.0,,,,, ./R2L1.csv
09/24/2016 03:35:10,11.0,,,,, ./R2L1.csv
09/24/2016 03:45:10,11.0,,,,, ./R2L1.csv
09/24/2016 03:55:10,11.0,,,,, ./R2L1.csv
09/24/2016 04:05:10,11.5,,,,, ./R2L1.csv
09/24/2016 04:15:10,11.5,,,,, ./R2L1.csv
09/24/2016 04:25:10,12.5,,,,, ./R2L1.csv
09/24/2016 04:35:10,12.0,,,,, ./R2L1.csv
09/24/2016 04:45:10,12.0,,,,, ./R2L1.csv
09/24/2016 04:55:10,12.0,,,,, ./R2L1.csv
09/24/2016 05:05:10,12.0,,,,, ./R2L1.csv
09/24/2016 05:15:10,11.5,,,,, ./R2L1.csv
09/24/2016 05:25:10,11.5,,,,, ./R2L1.csv
09/24/2016 05:35:10,11.5,,,,, ./R2L1.csv
09/24/2016 05:45:10,11.5,,,,, ./R2L1.csv
09/24/2016 05:55:10,11.0,,,,, ./R2L1.csv
09/24/2016 06:05:10,11.0,,,,, ./R2L1.csv
09/24/2016 06:15:10,11.0,,,,, ./R2L1.csv
09/24/2016 06:25:10,11.0,,,,, ./R2L1.csv
09/24/2016 06:35:10,11.0,,,,, ./R2L1.csv
09/24/2016 06:45:10,11.0,,,,, ./R2L1.csv
09/24/2016 06:55:10,10.5,,,,, ./R2L1.csv
09/24/2016 07:05:10,10.5,,,,, ./R2L1.csv
09/24/2016 07:15:10,10.5,,,,, ./R2L1.csv
09/24/2016 07:25:10,10.5,,,,, ./R2L1.csv
09/24/2016 07:35:10,10.5,,,,, ./R2L1.csv
09/24/2016 07:45:10,10.5,,,,, ./R2L1.csv
09/24/2016 07:55:10,10.5,,,,, ./R2L1.csv
09/24/2016 08:05:10,10.0,,,,, ./R2L1.csv
09/24/2016 08:15:10,10.0,,,,, ./R2L1.csv
09/24/2016 08:25:10,10.0,,,,, ./R2L1.csv
09/24/2016 08:35:10,10.0,,,,, ./R2L1.csv
09/24/2016 08:45:10,10.0,,,,, ./R2L1.csv
09/24/2016 08:55:10,10.0,,,,, ./R2L1.csv
09/24/2016 09:05:10,10.0,,,,, ./R2L1.csv
09/24/2016 09:15:10,10.0,,,,, ./R2L1.csv
09/24/2016 09:25:10,10.0,,,,, ./R2L1.csv
09/24/2016 09:35:10,9.5,,,,, ./R2L1.csv
09/24/2016 09:45:10,9.5,,,,, ./R2L1.csv
09/24/2016 09:55:10,9.5,,,,, ./R2L1.csv
09/24/2016 10:05:10,9.5,,,,, ./R2L1.csv
09/24/2016 10:15:10,9.5,,,,, ./R2L1.csv
09/24/2016 10:25:10,9.5,,,,, ./R2L1.csv
09/24/2016 10:35:10,9.5,,,,, ./R2L1.csv
09/24/2016 10:45:10,9.5,,,,, ./R2L1.csv
09/24/2016 10:55:10,9.5,,,,, ./R2L1.csv
09/24/2016 11:05:10,9.5,,,,, ./R2L1.csv
09/24/2016 11:15:10,9.5,,,,, ./R2L1.csv
09/24/2016 11:25:10,9.5,,,,, ./R2L1.csv
09/24/2016 11:35:10,9.5,,,,, ./R2L1.csv
09/24/2016 11:45:10,9.5,,,,, ./R2L1.csv
09/24/2016 11:55:10,9.5,,,,, ./R2L1.csv
09/24/2016 12:05:10,9.5,,,,, ./R2L1.csv
09/24/2016 12:15:10,9.5,,,,, ./R2L1.csv
09/24/2016 12:25:10,9.5,,,,, ./R2L1.csv
09/24/2016 12:35:10,9.5,,,,, ./R2L1.csv
09/24/2016 12:45:10,9.0,,,,, ./R2L1.csv
09/24/2016 12:55:10,9.0,,,,, ./R2L1.csv
09/24/2016 13:05:10,9.0,,,,, ./R2L1.csv
09/24/2016 13:15:10,9.0,,,,, ./R2L1.csv
09/24/2016 13:25:10,9.0,,,,, ./R2L1.csv
09/24/2016 13:35:10,9.0,,,,, ./R2L1.csv
09/24/2016 13:45:10,9.0,,,,, ./R2L1.csv
09/24/2016 13:55:10,9.5,,,,, ./R2L1.csv
09/24/2016 14:05:10,9.5,,,,, ./R2L1.csv
09/24/2016 14:15:10,9.5,,,,, ./R2L1.csv
09/24/2016 14:25:10,9.5,,,,, ./R2L1.csv
09/24/2016 14:35:10,10.0,,,,, ./R2L1.csv
09/24/2016 14:45:10,10.0,,,,, ./R2L1.csv
09/24/2016 14:55:10,10.5,,,,, ./R2L1.csv
09/24/2016 15:05:10,10.5,,,,, ./R2L1.csv
09/24/2016 15:15:10,12.5,,,,, ./R2L1.csv
09/24/2016 15:25:10,12.5,,,,, ./R2L1.csv
09/24/2016 15:35:10,12.0,,,,, ./R2L1.csv
09/24/2016 15:45:10,12.0,,,,, ./R2L1.csv
09/24/2016 15:55:10,12.0,,,,, ./R2L1.csv
09/24/2016 16:05:10,12.0,,,,, ./R2L1.csv
09/24/2016 16:15:10,12.0,,,,, ./R2L1.csv
09/24/2016 16:25:10,12.0,,,,, ./R2L1.csv
09/24/2016 16:35:10,11.5,,,,, ./R2L1.csv
09/24/2016 16:45:10,11.5,,,,, ./R2L1.csv
09/24/2016 16:55:10,11.5,,,,, ./R2L1.csv
09/24/2016 17:05:10,11.5,,,,, ./R2L1.csv
09/24/2016 17:15:10,11.5,,,,, ./R2L1.csv
09/24/2016 17:25:10,11.5,,,,, ./R2L1.csv
09/24/2016 17:35:10,11.5,,,,, ./R2L1.csv
09/24/2016 17:45:10,11.5,,,,, ./R2L1.csv
09/24/2016 17:55:10,11.5,,,,, ./R2L1.csv
09/24/2016 18:05:10,11.5,,,,, ./R2L1.csv
09/24/2016 18:15:10,11.5,,,,, ./R2L1.csv
09/24/2016 18:25:10,11.0,,,,, ./R2L1.csv
09/24/2016 18:35:10,11.0,,,,, ./R2L1.csv
09/24/2016 18:45:10,11.0,,,,, ./R2L1.csv
09/24/2016 18:55:10,11.0,,,,, ./R2L1.csv
09/24/2016 19:05:10,11.0,,,,, ./R2L1.csv
09/24/2016 19:15:10,11.0,,,,, ./R2L1.csv
09/24/2016 19:25:10,11.0,,,,, ./R2L1.csv
09/24/2016 19:35:10,11.0,,,,, ./R2L1.csv
09/24/2016 19:45:10,11.0,,,,, ./R2L1.csv
09/24/2016 19:55:10,11.0,,,,, ./R2L1.csv
09/24/2016 20:05:10,11.0,,,,, ./R2L1.csv
09/24/2016 20:15:10,11.0,,,,, ./R2L1.csv
09/24/2016 20:25:10,11.0,,,,, ./R2L1.csv
09/24/2016 20:35:10,11.0,,,,, ./R2L1.csv
09/24/2016 20:45:10,11.0,,,,, ./R2L1.csv
09/24/2016 20:55:10,11.0,,,,, ./R2L1.csv
09/24/2016 21:05:10,11.0,,,,, ./R2L1.csv
09/24/2016 21:15:10,11.0,,,,, ./R2L1.csv
09/24/2016 21:25:10,11.0,,,,, ./R2L1.csv
09/24/2016 21:35:10,11.0,,,,, ./R2L1.csv
09/24/2016 21:45:10,11.0,,,,, ./R2L1.csv
09/24/2016 21:55:10,11.5,,,,, ./R2L1.csv
09/24/2016 22:05:10,11.0,,,,, ./R2L1.csv
09/24/2016 22:15:10,11.0,,,,, ./R2L1.csv
09/24/2016 22:25:10,11.0,,,,, ./R2L1.csv
09/24/2016 22:35:10,11.0,,,,, ./R2L1.csv
09/24/2016 22:45:10,11.0,,,,, ./R2L1.csv
09/24/2016 22:55:10,11.0,,,,, ./R2L1.csv
09/24/2016 23:05:10,11.0,,,,, ./R2L1.csv
09/24/2016 23:15:10,11.0,,,,, ./R2L1.csv
09/24/2016 23:25:10,11.0,,,,, ./R2L1.csv
09/24/2016 23:35:10,11.0,,,,, ./R2L1.csv
09/24/2016 23:45:10,10.5,,,,, ./R2L1.csv
09/24/2016 23:55:10,10.5,,,,, ./R2L1.csv
09/25/2016 00:05:10,10.5,,,,, ./R2L1.csv
09/25/2016 00:15:10,10.0,,,,, ./R2L1.csv
09/25/2016 00:25:10,10.0,,,,, ./R2L1.csv
09/25/2016 00:35:10,10.0,,,,, ./R2L1.csv
09/25/2016 00:45:10,10.0,,,,, ./R2L1.csv
09/25/2016 00:55:10,10.0,,,,, ./R2L1.csv
09/25/2016 01:05:10,9.5,,,,, ./R2L1.csv
09/25/2016 01:15:10,9.5,,,,, ./R2L1.csv
09/25/2016 01:25:10,9.5,,,,, ./R2L1.csv
09/25/2016 01:35:10,9.5,,,,, ./R2L1.csv
09/25/2016 01:45:10,9.5,,,,, ./R2L1.csv
09/25/2016 01:55:10,9.5,,,,, ./R2L1.csv
09/25/2016 02:05:10,9.5,,,,, ./R2L1.csv
09/25/2016 02:15:10,9.0,,,,, ./R2L1.csv
09/25/2016 02:25:10,9.0,,,,, ./R2L1.csv
09/25/2016 02:35:10,9.0,,,,, ./R2L1.csv
09/25/2016 02:45:10,9.0,,,,, ./R2L1.csv
09/25/2016 02:55:10,9.0,,,,, ./R2L1.csv
09/25/2016 03:05:10,9.0,,,,, ./R2L1.csv
09/25/2016 03:15:10,9.0,,,,, ./R2L1.csv
09/25/2016 03:25:10,9.0,,,,, ./R2L1.csv
09/25/2016 03:35:10,8.5,,,,, ./R2L1.csv
09/25/2016 03:45:10,8.5,,,,, ./R2L1.csv
09/25/2016 03:55:10,8.5,,,,, ./R2L1.csv
09/25/2016 04:05:10,8.5,,,,, ./R2L1.csv
09/25/2016 04:15:10,8.5,,,,, ./R2L1.csv
09/25/2016 04:25:10,8.5,,,,, ./R2L1.csv
09/25/2016 04:35:10,9.0,,,,, ./R2L1.csv
09/25/2016 04:45:10,9.0,,,,, ./R2L1.csv
09/25/2016 04:55:10,9.0,,,,, ./R2L1.csv
09/25/2016 05:05:10,9.0,,,,, ./R2L1.csv
09/25/2016 05:15:10,8.5,,,,, ./R2L1.csv
09/25/2016 05:25:10,8.5,,,,, ./R2L1.csv
09/25/2016 05:35:10,8.0,,,,, ./R2L1.csv
09/25/2016 05:45:10,8.0,,,,, ./R2L1.csv
09/25/2016 05:55:10,8.0,,,,, ./R2L1.csv
09/25/2016 06:05:10,8.0,,,,, ./R2L1.csv
09/25/2016 06:15:10,8.0,,,,, ./R2L1.csv
09/25/2016 06:25:10,8.0,,,,, ./R2L1.csv
09/25/2016 06:35:10,7.5,,,,, ./R2L1.csv
09/25/2016 06:45:10,7.5,,,,, ./R2L1.csv
09/25/2016 06:55:10,7.5,,,,, ./R2L1.csv
09/25/2016 07:05:10,7.5,,,,, ./R2L1.csv
09/25/2016 07:15:10,7.5,,,,, ./R2L1.csv
09/25/2016 07:25:10,7.5,,,,, ./R2L1.csv
09/25/2016 07:35:10,7.5,,,,, ./R2L1.csv
09/25/2016 07:45:10,7.5,,,,, ./R2L1.csv
09/25/2016 07:55:10,7.5,,,,, ./R2L1.csv
09/25/2016 08:05:10,7.5,,,,, ./R2L1.csv
09/25/2016 08:15:10,7.5,,,,, ./R2L1.csv
09/25/2016 08:25:10,7.5,,,,, ./R2L1.csv
