Time,CH 1 °C,Alm 1,Alm 2,Alm 3,Alm 4, ./S2L2.csv
08/01/2016 16:28:22,28.0,,,,, ./S2L2.csv
08/01/2016 16:38:22,28.0,,,,, ./S2L2.csv
08/01/2016 16:48:22,28.0,,,,, ./S2L2.csv
08/01/2016 16:58:22,28.0,,,,, ./S2L2.csv
08/01/2016 17:08:22,28.0,,,,, ./S2L2.csv
08/01/2016 17:18:22,28.0,,,,, ./S2L2.csv
08/01/2016 17:28:22,28.0,,,,, ./S2L2.csv
08/01/2016 17:38:22,28.0,,,,, ./S2L2.csv
08/01/2016 17:48:22,28.0,,,,, ./S2L2.csv
08/01/2016 17:58:22,27.5,,,,, ./S2L2.csv
08/01/2016 18:08:22,27.5,,,,, ./S2L2.csv
08/01/2016 18:18:22,26.5,,,,, ./S2L2.csv
08/01/2016 18:28:22,25.5,,,,, ./S2L2.csv
08/01/2016 18:38:22,24.5,,,,, ./S2L2.csv
08/01/2016 18:48:22,24.0,,,,, ./S2L2.csv
08/01/2016 18:58:22,24.0,,,,, ./S2L2.csv
08/01/2016 19:08:22,24.0,,,,, ./S2L2.csv
08/01/2016 19:18:22,24.0,,,,, ./S2L2.csv
08/01/2016 19:28:22,24.0,,,,, ./S2L2.csv
08/01/2016 19:38:22,24.0,,,,, ./S2L2.csv
08/01/2016 19:48:22,24.0,,,,, ./S2L2.csv
08/01/2016 19:58:22,24.0,,,,, ./S2L2.csv
08/01/2016 20:08:22,24.0,,,,, ./S2L2.csv
08/01/2016 20:18:22,24.5,,,,, ./S2L2.csv
08/01/2016 20:28:22,24.5,,,,, ./S2L2.csv
08/01/2016 20:38:22,24.5,,,,, ./S2L2.csv
08/01/2016 20:48:22,24.5,,,,, ./S2L2.csv
08/01/2016 20:58:22,24.5,,,,, ./S2L2.csv
08/01/2016 21:08:22,24.5,,,,, ./S2L2.csv
08/01/2016 21:18:22,24.5,,,,, ./S2L2.csv
08/01/2016 21:28:22,24.5,,,,, ./S2L2.csv
08/01/2016 21:38:22,24.5,,,,, ./S2L2.csv
08/01/2016 21:48:22,24.5,,,,, ./S2L2.csv
08/01/2016 21:58:22,24.5,,,,, ./S2L2.csv
08/01/2016 22:08:22,24.5,,,,, ./S2L2.csv
08/01/2016 22:18:22,24.5,,,,, ./S2L2.csv
08/01/2016 22:28:22,24.5,,,,, ./S2L2.csv
08/01/2016 22:38:22,24.5,,,,, ./S2L2.csv
08/01/2016 22:48:22,24.5,,,,, ./S2L2.csv
08/01/2016 22:58:22,24.5,,,,, ./S2L2.csv
08/01/2016 23:08:22,24.5,,,,, ./S2L2.csv
08/01/2016 23:18:22,24.5,,,,, ./S2L2.csv
08/01/2016 23:28:22,24.5,,,,, ./S2L2.csv
08/01/2016 23:38:22,24.5,,,,, ./S2L2.csv
08/01/2016 23:48:22,24.5,,,,, ./S2L2.csv
08/01/2016 23:58:22,24.5,,,,, ./S2L2.csv
08/02/2016 00:08:22,24.5,,,,, ./S2L2.csv
08/02/2016 00:18:22,24.5,,,,, ./S2L2.csv
08/02/2016 00:28:22,24.5,,,,, ./S2L2.csv
08/02/2016 00:38:22,24.5,,,,, ./S2L2.csv
08/02/2016 00:48:22,24.5,,,,, ./S2L2.csv
08/02/2016 00:58:22,24.5,,,,, ./S2L2.csv
08/02/2016 01:08:22,24.5,,,,, ./S2L2.csv
08/02/2016 01:18:22,24.5,,,,, ./S2L2.csv
08/02/2016 01:28:22,24.0,,,,, ./S2L2.csv
08/02/2016 01:38:22,24.0,,,,, ./S2L2.csv
08/02/2016 01:48:22,24.0,,,,, ./S2L2.csv
08/02/2016 01:58:22,24.0,,,,, ./S2L2.csv
08/02/2016 02:08:22,24.0,,,,, ./S2L2.csv
08/02/2016 02:18:22,24.0,,,,, ./S2L2.csv
08/02/2016 02:28:22,24.0,,,,, ./S2L2.csv
08/02/2016 02:38:22,24.0,,,,, ./S2L2.csv
08/02/2016 02:48:22,24.0,,,,, ./S2L2.csv
08/02/2016 02:58:22,24.0,,,,, ./S2L2.csv
08/02/2016 03:08:22,24.0,,,,, ./S2L2.csv
08/02/2016 03:18:22,24.0,,,,, ./S2L2.csv
08/02/2016 03:28:22,24.0,,,,, ./S2L2.csv
08/02/2016 03:38:22,24.0,,,,, ./S2L2.csv
08/02/2016 03:48:22,24.0,,,,, ./S2L2.csv
08/02/2016 03:58:22,24.0,,,,, ./S2L2.csv
08/02/2016 04:08:22,24.0,,,,, ./S2L2.csv
08/02/2016 04:18:22,24.0,,,,, ./S2L2.csv
08/02/2016 04:28:22,24.0,,,,, ./S2L2.csv
08/02/2016 04:38:22,24.0,,,,, ./S2L2.csv
08/02/2016 04:48:22,24.0,,,,, ./S2L2.csv
08/02/2016 04:58:22,24.0,,,,, ./S2L2.csv
08/02/2016 05:08:22,24.0,,,,, ./S2L2.csv
08/02/2016 05:18:22,24.0,,,,, ./S2L2.csv
08/02/2016 05:28:22,24.0,,,,, ./S2L2.csv
08/02/2016 05:38:22,24.0,,,,, ./S2L2.csv
08/02/2016 05:48:22,24.0,,,,, ./S2L2.csv
08/02/2016 05:58:22,24.0,,,,, ./S2L2.csv
08/02/2016 06:08:22,24.0,,,,, ./S2L2.csv
08/02/2016 06:18:22,24.0,,,,, ./S2L2.csv
08/02/2016 06:28:22,24.0,,,,, ./S2L2.csv
08/02/2016 06:38:22,24.0,,,,, ./S2L2.csv
08/02/2016 06:48:22,24.0,,,,, ./S2L2.csv
08/02/2016 06:58:22,24.0,,,,, ./S2L2.csv
08/02/2016 07:08:22,24.0,,,,, ./S2L2.csv
08/02/2016 07:18:22,24.0,,,,, ./S2L2.csv
08/02/2016 07:28:22,24.0,,,,, ./S2L2.csv
08/02/2016 07:38:22,24.0,,,,, ./S2L2.csv
08/02/2016 07:48:22,24.0,,,,, ./S2L2.csv
08/02/2016 07:58:22,24.0,,,,, ./S2L2.csv
08/02/2016 08:08:22,24.0,,,,, ./S2L2.csv
08/02/2016 08:18:22,24.0,,,,, ./S2L2.csv
08/02/2016 08:28:22,24.0,,,,, ./S2L2.csv
08/02/2016 08:38:22,24.0,,,,, ./S2L2.csv
08/02/2016 08:48:22,24.0,,,,, ./S2L2.csv
08/02/2016 08:58:22,24.0,,,,, ./S2L2.csv
08/02/2016 09:08:22,24.0,,,,, ./S2L2.csv
08/02/2016 09:18:22,24.0,,,,, ./S2L2.csv
08/02/2016 09:28:22,24.0,,,,, ./S2L2.csv
08/02/2016 09:38:22,24.0,,,,, ./S2L2.csv
08/02/2016 09:48:22,24.0,,,,, ./S2L2.csv
08/02/2016 09:58:22,24.5,,,,, ./S2L2.csv
08/02/2016 10:08:22,24.5,,,,, ./S2L2.csv
08/02/2016 10:18:22,24.5,,,,, ./S2L2.csv
08/02/2016 10:28:22,24.5,,,,, ./S2L2.csv
08/02/2016 10:38:22,24.5,,,,, ./S2L2.csv
08/02/2016 10:48:22,24.5,,,,, ./S2L2.csv
08/02/2016 10:58:22,24.5,,,,, ./S2L2.csv
08/02/2016 11:08:22,24.5,,,,, ./S2L2.csv
08/02/2016 11:18:22,24.5,,,,, ./S2L2.csv
08/02/2016 11:28:22,25.0,,,,, ./S2L2.csv
08/02/2016 11:38:22,25.0,,,,, ./S2L2.csv
08/02/2016 11:48:22,25.0,,,,, ./S2L2.csv
08/02/2016 11:58:22,25.0,,,,, ./S2L2.csv
08/02/2016 12:08:22,25.5,,,,, ./S2L2.csv
08/02/2016 12:18:22,25.5,,,,, ./S2L2.csv
08/02/2016 12:28:22,25.5,,,,, ./S2L2.csv
08/02/2016 12:38:22,25.5,,,,, ./S2L2.csv
08/02/2016 12:48:22,26.0,,,,, ./S2L2.csv
08/02/2016 12:58:22,26.0,,,,, ./S2L2.csv
08/02/2016 13:08:22,26.0,,,,, ./S2L2.csv
08/02/2016 13:18:22,26.0,,,,, ./S2L2.csv
08/02/2016 13:28:22,26.0,,,,, ./S2L2.csv
08/02/2016 13:38:22,26.0,,,,, ./S2L2.csv
08/02/2016 13:48:22,26.0,,,,, ./S2L2.csv
08/02/2016 13:58:22,26.5,,,,, ./S2L2.csv
08/02/2016 14:08:22,26.5,,,,, ./S2L2.csv
08/02/2016 14:18:22,26.5,,,,, ./S2L2.csv
08/02/2016 14:28:22,26.5,,,,, ./S2L2.csv
08/02/2016 14:38:22,26.5,,,,, ./S2L2.csv
08/02/2016 14:48:22,26.5,,,,, ./S2L2.csv
08/02/2016 14:58:22,26.5,,,,, ./S2L2.csv
08/02/2016 15:08:22,26.5,,,,, ./S2L2.csv
08/02/2016 15:18:22,26.5,,,,, ./S2L2.csv
08/02/2016 15:28:22,26.5,,,,, ./S2L2.csv
08/02/2016 15:38:22,26.5,,,,, ./S2L2.csv
08/02/2016 15:48:22,26.5,,,,, ./S2L2.csv
08/02/2016 15:58:22,26.5,,,,, ./S2L2.csv
08/02/2016 16:08:22,26.5,,,,, ./S2L2.csv
08/02/2016 16:18:22,26.5,,,,, ./S2L2.csv
08/02/2016 16:28:22,26.0,,,,, ./S2L2.csv
08/02/2016 16:38:22,26.0,,,,, ./S2L2.csv
08/02/2016 16:48:22,26.0,,,,, ./S2L2.csv
08/02/2016 16:58:22,25.5,,,,, ./S2L2.csv
08/02/2016 17:08:22,25.5,,,,, ./S2L2.csv
08/02/2016 17:18:22,25.5,,,,, ./S2L2.csv
08/02/2016 17:28:22,25.5,,,,, ./S2L2.csv
08/02/2016 17:38:22,25.5,,,,, ./S2L2.csv
08/02/2016 17:48:22,25.5,,,,, ./S2L2.csv
08/02/2016 17:58:22,25.5,,,,, ./S2L2.csv
08/02/2016 18:08:22,25.5,,,,, ./S2L2.csv
08/02/2016 18:18:22,25.5,,,,, ./S2L2.csv
08/02/2016 18:28:22,25.5,,,,, ./S2L2.csv
08/02/2016 18:38:22,25.5,,,,, ./S2L2.csv
08/02/2016 18:48:22,25.5,,,,, ./S2L2.csv
08/02/2016 18:58:22,25.5,,,,, ./S2L2.csv
08/02/2016 19:08:22,25.5,,,,, ./S2L2.csv
08/02/2016 19:18:22,25.0,,,,, ./S2L2.csv
08/02/2016 19:28:22,25.0,,,,, ./S2L2.csv
08/02/2016 19:38:22,25.0,,,,, ./S2L2.csv
08/02/2016 19:48:22,25.0,,,,, ./S2L2.csv
08/02/2016 19:58:22,25.0,,,,, ./S2L2.csv
08/02/2016 20:08:22,25.0,,,,, ./S2L2.csv
08/02/2016 20:18:22,25.0,,,,, ./S2L2.csv
08/02/2016 20:28:22,25.0,,,,, ./S2L2.csv
08/02/2016 20:38:22,25.0,,,,, ./S2L2.csv
08/02/2016 20:48:22,25.0,,,,, ./S2L2.csv
08/02/2016 20:58:22,25.0,,,,, ./S2L2.csv
08/02/2016 21:08:22,25.0,,,,, ./S2L2.csv
08/02/2016 21:18:22,25.0,,,,, ./S2L2.csv
08/02/2016 21:28:22,25.0,,,,, ./S2L2.csv
08/02/2016 21:38:22,25.0,,,,, ./S2L2.csv
08/02/2016 21:48:22,25.0,,,,, ./S2L2.csv
08/02/2016 21:58:22,25.0,,,,, ./S2L2.csv
08/02/2016 22:08:22,25.0,,,,, ./S2L2.csv
08/02/2016 22:18:22,25.0,,,,, ./S2L2.csv
08/02/2016 22:28:22,25.0,,,,, ./S2L2.csv
08/02/2016 22:38:22,25.0,,,,, ./S2L2.csv
08/02/2016 22:48:22,25.0,,,,, ./S2L2.csv
08/02/2016 22:58:22,25.0,,,,, ./S2L2.csv
08/02/2016 23:08:22,25.0,,,,, ./S2L2.csv
08/02/2016 23:18:22,25.0,,,,, ./S2L2.csv
08/02/2016 23:28:22,25.0,,,,, ./S2L2.csv
08/02/2016 23:38:22,25.0,,,,, ./S2L2.csv
08/02/2016 23:48:22,24.5,,,,, ./S2L2.csv
08/02/2016 23:58:22,24.5,,,,, ./S2L2.csv
08/03/2016 00:08:22,24.5,,,,, ./S2L2.csv
08/03/2016 00:18:22,24.5,,,,, ./S2L2.csv
08/03/2016 00:28:22,24.5,,,,, ./S2L2.csv
08/03/2016 00:38:22,24.5,,,,, ./S2L2.csv
08/03/2016 00:48:22,24.5,,,,, ./S2L2.csv
08/03/2016 00:58:22,24.5,,,,, ./S2L2.csv
08/03/2016 01:08:22,24.5,,,,, ./S2L2.csv
08/03/2016 01:18:22,24.5,,,,, ./S2L2.csv
08/03/2016 01:28:22,24.5,,,,, ./S2L2.csv
08/03/2016 01:38:22,24.5,,,,, ./S2L2.csv
08/03/2016 01:48:22,24.5,,,,, ./S2L2.csv
08/03/2016 01:58:22,24.5,,,,, ./S2L2.csv
08/03/2016 02:08:22,24.5,,,,, ./S2L2.csv
08/03/2016 02:18:22,25.0,,,,, ./S2L2.csv
08/03/2016 02:28:22,24.5,,,,, ./S2L2.csv
08/03/2016 02:38:22,24.5,,,,, ./S2L2.csv
08/03/2016 02:48:22,24.5,,,,, ./S2L2.csv
08/03/2016 02:58:22,24.5,,,,, ./S2L2.csv
08/03/2016 03:08:22,24.5,,,,, ./S2L2.csv
08/03/2016 03:18:22,24.5,,,,, ./S2L2.csv
08/03/2016 03:28:22,24.5,,,,, ./S2L2.csv
08/03/2016 03:38:22,24.5,,,,, ./S2L2.csv
08/03/2016 03:48:22,24.5,,,,, ./S2L2.csv
08/03/2016 03:58:22,24.5,,,,, ./S2L2.csv
08/03/2016 04:08:22,24.0,,,,, ./S2L2.csv
08/03/2016 04:18:22,24.0,,,,, ./S2L2.csv
08/03/2016 04:28:22,24.0,,,,, ./S2L2.csv
08/03/2016 04:38:22,24.0,,,,, ./S2L2.csv
08/03/2016 04:48:22,24.0,,,,, ./S2L2.csv
08/03/2016 04:58:22,24.0,,,,, ./S2L2.csv
08/03/2016 05:08:22,24.0,,,,, ./S2L2.csv
08/03/2016 05:18:22,24.0,,,,, ./S2L2.csv
08/03/2016 05:28:22,24.0,,,,, ./S2L2.csv
08/03/2016 05:38:22,24.0,,,,, ./S2L2.csv
08/03/2016 05:48:22,24.0,,,,, ./S2L2.csv
08/03/2016 05:58:22,24.0,,,,, ./S2L2.csv
08/03/2016 06:08:22,24.0,,,,, ./S2L2.csv
08/03/2016 06:18:22,24.0,,,,, ./S2L2.csv
08/03/2016 06:28:22,24.0,,,,, ./S2L2.csv
08/03/2016 06:38:22,24.0,,,,, ./S2L2.csv
08/03/2016 06:48:22,24.0,,,,, ./S2L2.csv
08/03/2016 06:58:22,24.0,,,,, ./S2L2.csv
08/03/2016 07:08:22,24.0,,,,, ./S2L2.csv
08/03/2016 07:18:22,24.0,,,,, ./S2L2.csv
08/03/2016 07:28:22,24.0,,,,, ./S2L2.csv
08/03/2016 07:38:22,24.0,,,,, ./S2L2.csv
08/03/2016 07:48:22,24.0,,,,, ./S2L2.csv
08/03/2016 07:58:22,24.5,,,,, ./S2L2.csv
08/03/2016 08:08:22,24.5,,,,, ./S2L2.csv
08/03/2016 08:18:22,24.5,,,,, ./S2L2.csv
08/03/2016 08:28:22,24.5,,,,, ./S2L2.csv
08/03/2016 08:38:22,24.5,,,,, ./S2L2.csv
08/03/2016 08:48:22,24.5,,,,, ./S2L2.csv
08/03/2016 08:58:22,24.5,,,,, ./S2L2.csv
08/03/2016 09:08:22,24.5,,,,, ./S2L2.csv
08/03/2016 09:18:22,24.5,,,,, ./S2L2.csv
08/03/2016 09:28:22,25.0,,,,, ./S2L2.csv
08/03/2016 09:38:22,24.5,,,,, ./S2L2.csv
08/03/2016 09:48:22,24.5,,,,, ./S2L2.csv
08/03/2016 09:58:22,24.5,,,,, ./S2L2.csv
08/03/2016 10:08:22,24.5,,,,, ./S2L2.csv
08/03/2016 10:18:22,24.5,,,,, ./S2L2.csv
08/03/2016 10:28:22,24.5,,,,, ./S2L2.csv
08/03/2016 10:38:22,24.5,,,,, ./S2L2.csv
08/03/2016 10:48:22,24.5,,,,, ./S2L2.csv
08/03/2016 10:58:22,24.5,,,,, ./S2L2.csv
08/03/2016 11:08:22,25.0,,,,, ./S2L2.csv
08/03/2016 11:18:22,25.0,,,,, ./S2L2.csv
08/03/2016 11:28:22,25.0,,,,, ./S2L2.csv
08/03/2016 11:38:22,25.0,,,,, ./S2L2.csv
08/03/2016 11:48:22,25.0,,,,, ./S2L2.csv
08/03/2016 11:58:22,25.0,,,,, ./S2L2.csv
08/03/2016 12:08:22,25.0,,,,, ./S2L2.csv
08/03/2016 12:18:22,25.5,,,,, ./S2L2.csv
08/03/2016 12:28:22,25.5,,,,, ./S2L2.csv
08/03/2016 12:38:22,25.5,,,,, ./S2L2.csv
08/03/2016 12:48:22,25.5,,,,, ./S2L2.csv
08/03/2016 12:58:22,26.0,,,,, ./S2L2.csv
08/03/2016 13:08:22,26.0,,,,, ./S2L2.csv
08/03/2016 13:18:22,26.0,,,,, ./S2L2.csv
08/03/2016 13:28:22,26.0,,,,, ./S2L2.csv
08/03/2016 13:38:22,26.0,,,,, ./S2L2.csv
08/03/2016 13:48:22,26.0,,,,, ./S2L2.csv
08/03/2016 13:58:22,26.5,,,,, ./S2L2.csv
08/03/2016 14:08:22,26.5,,,,, ./S2L2.csv
08/03/2016 14:18:22,26.5,,,,, ./S2L2.csv
08/03/2016 14:28:22,26.5,,,,, ./S2L2.csv
08/03/2016 14:38:22,26.5,,,,, ./S2L2.csv
08/03/2016 14:48:22,26.5,,,,, ./S2L2.csv
08/03/2016 14:58:22,26.5,,,,, ./S2L2.csv
08/03/2016 15:08:22,26.5,,,,, ./S2L2.csv
08/03/2016 15:18:22,26.5,,,,, ./S2L2.csv
08/03/2016 15:28:22,26.5,,,,, ./S2L2.csv
08/03/2016 15:38:22,26.5,,,,, ./S2L2.csv
08/03/2016 15:48:22,26.5,,,,, ./S2L2.csv
08/03/2016 15:58:22,26.5,,,,, ./S2L2.csv
08/03/2016 16:08:22,26.5,,,,, ./S2L2.csv
08/03/2016 16:18:22,26.5,,,,, ./S2L2.csv
08/03/2016 16:28:22,27.0,,,,, ./S2L2.csv
08/03/2016 16:38:22,27.0,,,,, ./S2L2.csv
08/03/2016 16:48:22,27.0,,,,, ./S2L2.csv
08/03/2016 16:58:22,27.0,,,,, ./S2L2.csv
08/03/2016 17:08:22,27.0,,,,, ./S2L2.csv
08/03/2016 17:18:22,27.0,,,,, ./S2L2.csv
08/03/2016 17:28:22,27.0,,,,, ./S2L2.csv
08/03/2016 17:38:22,27.0,,,,, ./S2L2.csv
08/03/2016 17:48:22,27.0,,,,, ./S2L2.csv
08/03/2016 17:58:22,27.0,,,,, ./S2L2.csv
08/03/2016 18:08:22,27.0,,,,, ./S2L2.csv
08/03/2016 18:18:22,27.0,,,,, ./S2L2.csv
08/03/2016 18:28:22,27.0,,,,, ./S2L2.csv
08/03/2016 18:38:22,27.0,,,,, ./S2L2.csv
08/03/2016 18:48:22,27.0,,,,, ./S2L2.csv
08/03/2016 18:58:22,27.0,,,,, ./S2L2.csv
08/03/2016 19:08:22,27.0,,,,, ./S2L2.csv
